,Rank,Name,Team,split1,split2,split3,split4,split5,sector1,sector2,sector3,sector4,sector5,sector1Gap,sector1Rank,sector2Gap,sector2Rank,sector3Gap,sector3Rank,sector4Gap,sector4Rank,sector5Gap,sector5Rank,split1Gap,split1Rank,split2Gap,split2Rank,split3Gap,split3Rank,split4Gap,split4Rank,split5Gap,split5Rank
0,1.0,GWIN Aaron,THE YT MOB,01:07.827,01:50.639,02:10.466,02:39.156,03:09.131,01:07.827,00:42.812,00:19.827,00:28.690,00:29.975,1.074,3,0.861,4,0.262,2,0.56,2,0.626,5,1.074,3,1.935,2,1.802,2,2.362,2,0.0,1
3,2.0,SMITH Steve,DEVINCI GLOBAL RACING,01:08.280,01:51.775,02:12.166,02:41.249,03:11.602,01:08.280,00:43.495,00:20.391,00:29.083,00:30.353,1.527,4,1.544,10,0.826,7,0.953,3,1.004,10,1.527,4,3.071,4,3.502,4,4.455,3,2.471,2
6,3.0,HART Danny,MS MONDRAKER TEAM,01:09.017,01:52.273,02:12.575,02:42.037,03:11.817,01:09.017,00:43.256,00:20.302,00:29.462,00:29.780,2.264,7,1.305,6,0.737,5,1.332,5,0.431,3,2.264,7,3.569,5,3.911,5,5.243,4,2.686,3
9,4.0,BROSNAN Troy,SPECIALIZED RACING,01:08.345,01:52.602,02:14.277,02:43.932,03:13.281,01:08.345,00:44.257,00:21.675,00:29.655,00:29.349,1.592,5,2.306,17,2.11,53,1.525,6,0.0,1,1.592,5,3.898,6,5.613,10,7.138,8,4.15,4
12,5.0,PIERRON Amaury,LAC BLANC COMMENCAL,01:07.816,01:51.171,02:12.012,02:43.408,03:13.440,01:07.816,00:43.355,00:20.841,00:31.396,00:30.032,1.063,2,1.404,7,1.276,15,3.266,26,0.683,6,1.063,2,2.467,3,3.348,3,6.614,6,4.309,5
15,6.0,BRYCELAND Josh,SANTA CRUZ SYNDICATE,01:10.865,01:53.636,02:13.201,02:42.951,03:13.636,01:10.865,00:42.771,00:19.565,00:29.750,00:30.685,4.112,21,0.82,3,0.0,1,1.62,8,1.336,15,4.112,21,4.932,12,4.537,6,6.157,5,4.505,6
18,7.0,ATHERTON Gee,TREK FACTORY RACING DH,01:09.601,01:53.060,02:14.185,02:44.036,03:14.415,01:09.601,00:43.459,00:21.125,00:29.851,00:30.379,2.848,10,1.508,8,1.56,30,1.721,9,1.03,11,2.848,10,4.356,8,5.521,8,7.242,9,5.284,7
21,8.0,WALLACE Mark,DEVINCI GLOBAL RACING,01:10.027,01:54.218,02:14.568,02:43.915,03:14.554,01:10.027,00:44.191,00:20.350,00:29.347,00:30.639,3.274,12,2.24,16,0.785,6,1.217,4,1.29,13,3.274,12,5.514,16,5.904,13,7.121,7,5.423,8
24,9.0,FEARON Connor,KONA FACTORY TEAM DH,01:10.572,01:54.240,02:14.955,02:45.203,03:15.048,01:10.572,00:43.668,00:20.715,00:30.248,00:29.845,3.819,19,1.717,12,1.15,11,2.118,11,0.496,4,3.819,19,5.536,17,6.291,15,8.409,12,5.917,9
27,10.0,FAIRCLOUGH Brendan,GSTAAD-SCOTT,01:10.413,01:53.897,02:14.309,02:44.464,03:15.219,01:10.413,00:43.484,00:20.412,00:30.155,00:30.755,3.66,16,1.533,9,0.847,8,2.025,10,1.406,16,3.66,16,5.193,14,5.645,11,7.67,10,6.088,10
30,11.0,KERR Bernard,PIVOT FACTORY RACING,01:10.245,01:53.189,02:14.194,02:45.475,03:15.249,01:10.245,00:42.944,00:21.005,00:31.281,00:29.774,3.492,14,0.993,5,1.44,23,3.151,24,0.425,2,3.492,14,4.485,9,5.53,9,8.681,13,6.118,11
33,12.0,PAYET Florent,VOULVOUL RACING,01:09.253,01:52.856,02:13.869,02:45.065,03:15.951,01:09.253,00:43.603,00:21.013,00:31.196,00:30.886,2.5,8,1.652,11,1.448,24,3.066,21,1.537,18,2.5,8,4.152,7,5.205,7,8.271,11,6.82,12
36,13.0,VERGIER Loris,SPECIALIZED GRAVITY POWERED BY SRAM,01:10.317,01:55.084,02:16.247,02:45.944,03:16.045,01:10.317,00:44.767,00:21.163,00:29.697,00:30.101,3.564,15,2.816,24,1.598,31,1.567,7,0.752,8,3.564,15,6.38,20,7.583,19,9.15,15,6.914,13
39,14.0,BRUNI Loic,SPECIALIZED GRAVITY POWERED BY SRAM,01:06.753,01:48.704,02:08.664,02:36.794,03:16.460,01:06.753,00:41.951,00:19.960,00:28.130,00:39.666,0.0,1,0.0,1,0.395,3,0.0,1,10.317,75,0.0,1,0.0,1,0.0,1,0.0,1,7.329,14
42,15.0,MINNAAR Greg,SANTA CRUZ SYNDICATE,01:08.830,01:53.353,02:14.717,02:46.327,03:16.651,01:08.830,00:44.523,00:21.364,00:31.610,00:30.324,2.077,6,2.572,20,1.799,39,3.48,30,0.975,9,2.077,6,4.649,10,6.053,14,9.533,17,7.52,15
45,16.0,MASTERS Edward,BERGAMONT HAYES FACTORY TEAM,01:09.790,01:53.701,02:14.556,02:46.166,03:17.108,01:09.790,00:43.911,00:20.855,00:31.610,00:30.942,3.037,11,1.96,15,1.29,16,3.48,30,1.593,20,3.037,11,4.997,13,5.892,12,9.372,16,7.977,16
48,17.0,GUTIERREZ VILLEGAS Marcelo,GIANT FACTORY OFF-ROAD TEAM,01:10.931,01:56.067,02:16.859,02:47.202,03:17.268,01:10.931,00:45.136,00:20.792,00:30.343,00:30.066,4.178,22,3.185,36,1.227,14,2.213,13,0.717,7,4.178,22,7.363,25,8.195,24,10.408,21,8.137,17
51,18.0,JONES Michael,CHAIN REACTION CYCLES / PAYPAL,01:10.097,01:55.503,02:15.680,02:46.652,03:17.460,01:10.097,00:45.406,00:20.177,00:30.972,00:30.808,3.344,13,3.455,43,0.612,4,2.842,19,1.459,17,3.344,13,6.799,21,7.016,18,9.858,19,8.329,18
54,19.0,CUNNINGHAM Ruaridh,UNIOR TOOLS TEAM,01:10.555,01:54.451,02:15.098,02:46.506,03:17.487,01:10.555,00:43.896,00:20.647,00:31.408,00:30.981,3.802,18,1.945,14,1.082,10,3.278,27,1.632,21,3.802,18,5.747,18,6.434,17,9.712,18,8.356,19
57,20.0,COULANGES Benoit,DORVAL AM NICOLAI,ays 00:01,01:55.664,02:16.693,02:46.992,03:17.927,ays 00:01,00:44.664,00:21.029,00:30.299,00:30.935,4.247,23,2.713,22,1.464,25,2.169,12,1.586,19,4.247,23,6.96,23,8.029,23,10.198,20,8.796,20
60,21.0,SHAW Luca,SRAM/TLD RACING,01:10.686,01:55.051,02:16.401,02:47.354,03:18.493,01:10.686,00:44.365,00:21.350,00:30.953,00:31.139,3.933,20,2.414,18,1.785,38,2.823,18,1.79,24,3.933,20,6.347,19,7.737,20,10.56,22,9.362,21
63,22.0,WILLIAMSON Greg,CUBE GLOBAL SQUAD PROTECTED BY BLISS,01:11.693,01:56.568,02:17.525,02:48.446,03:18.924,01:11.693,00:44.875,00:20.957,00:30.921,00:30.478,4.94,33,2.924,25,1.392,21,2.791,17,1.129,12,4.94,33,7.864,28,8.861,26,11.652,25,9.793,22
66,23.0,GREENLAND Laurie,MS MONDRAKER TEAM,01:12.188,01:55.907,02:16.651,02:48.407,03:20.220,01:12.188,00:43.719,00:20.744,00:31.756,00:31.813,5.435,40,1.768,13,1.179,12,3.626,32,2.464,32,5.435,40,7.203,24,7.987,22,11.613,24,11.089,23
69,24.0,CHAPMAN Rupert,BERGAMONT HAYES FACTORY TEAM,01:11.875,01:56.933,02:18.106,02:48.566,03:20.563,01:11.875,00:45.058,00:21.173,00:30.460,00:31.997,5.122,34,3.107,30,1.608,32,2.33,15,2.648,41,5.122,34,8.229,32,9.442,31,11.772,26,11.432,24
72,25.0,HEATH Harry,NORCO FACTORY RACING,01:11.065,01:56.135,02:17.532,02:48.807,03:20.946,01:11.065,00:45.070,00:21.397,00:31.275,00:32.139,4.312,26,3.119,32,1.832,41,3.145,23,2.79,45,4.312,26,7.431,26,8.868,27,12.013,27,11.815,25
75,26.0,SIMMONDS Matthew,MADISON SARACEN FACTORY TEAM,01:10.486,01:55.617,02:16.572,02:49.855,03:21.476,01:10.486,00:45.131,00:20.955,00:33.283,00:31.621,3.733,17,3.18,35,1.39,20,5.153,58,2.272,27,3.733,17,6.913,22,7.908,21,13.061,29,12.345,26
78,27.0,BRAYTON Adam,,01:12.066,01:57.976,02:19.029,02:50.287,03:21.974,01:12.066,00:45.910,00:21.053,00:31.258,00:31.687,5.313,38,3.959,52,1.488,27,3.128,22,2.338,29,5.313,38,9.272,43,10.365,38,13.493,32,12.843,27
81,28.0,CAUVIN Guillaume,GIANT FACTORY OFF-ROAD TEAM,01:12.516,01:57.415,02:18.305,02:50.765,03:22.089,01:12.516,00:44.899,00:20.890,00:32.460,00:31.324,5.763,43,2.948,26,1.325,17,4.33,43,1.975,25,5.763,43,8.711,39,9.641,32,13.971,34,12.958,28
84,29.0,HILL Samuel,CHAIN REACTION CYCLES / PAYPAL,01:11.210,01:56.410,02:17.035,02:50.233,03:22.109,01:11.210,00:45.200,00:20.625,00:33.198,00:31.876,4.457,27,3.249,38,1.06,9,5.068,55,2.527,33,4.457,27,7.706,27,8.371,25,13.439,31,12.978,29
87,30.0,CABIROU Rudy,VOULVOUL RACING,01:12.949,01:58.057,02:19.163,02:50.454,03:22.381,01:12.949,00:45.108,00:21.106,00:31.291,00:31.927,6.196,46,3.157,34,1.541,29,3.161,25,2.578,34,6.196,46,9.353,45,10.499,41,13.66,33,13.25,30
90,31.0,NEETHLING Andrew,POLYGON UR,01:11.045,01:56.586,02:17.680,02:50.041,03:22.838,01:11.045,00:45.541,00:21.094,00:32.361,00:32.797,4.292,25,3.59,44,1.529,28,4.231,40,3.448,52,4.292,25,7.882,29,9.016,28,13.247,30,13.707,31
93,32.0,VERNON Taylor,TREK FACTORY RACING DH,01:13.140,01:57.603,02:18.530,02:50.974,03:22.952,01:13.140,00:44.463,00:20.927,00:32.444,00:31.978,6.387,48,2.512,19,1.362,19,4.314,42,2.629,38,6.387,48,8.899,41,9.866,34,14.18,35,13.821,32
96,33.0,GRAHAM Innes,PROPAIN DIRT ZELVY,01:13.218,01:58.165,02:19.459,02:51.644,03:23.106,01:13.218,00:44.947,00:21.294,00:32.185,00:31.462,6.465,52,2.996,29,1.729,37,4.055,38,2.113,26,6.465,52,9.461,46,10.795,42,14.85,38,13.975,33
99,34.0,PEKOLL Markus,MS MONDRAKER TEAM,01:11.517,01:56.731,02:18.687,02:51.246,03:23.364,01:11.517,00:45.214,00:21.956,00:32.559,00:32.118,4.764,31,3.263,39,2.391,59,4.429,44,2.769,44,4.764,31,8.027,31,10.023,36,14.452,36,14.233,34
102,35.0,BLENKINSOP Samuel,NORCO FACTORY RACING,01:13.940,01:59.088,02:20.471,02:52.799,03:23.444,01:13.940,00:45.148,00:21.383,00:32.328,00:30.645,7.187,60,3.197,37,1.818,40,4.198,39,1.296,14,7.187,60,10.384,51,11.807,48,16.005,42,14.313,35
105,36.0,MARIN TRILLO Alex,GIANT FACTORY OFF-ROAD TEAM,01:13.314,01:59.189,02:20.771,02:51.905,03:23.914,01:13.314,00:45.875,00:21.582,00:31.134,00:32.009,6.561,53,3.924,51,2.017,48,3.004,20,2.66,42,6.561,53,10.485,54,12.107,51,15.111,39,14.783,36
108,37.0,MACDONALD Brook,GT FACTORY RACING,01:13.442,01:58.843,02:20.356,02:52.748,03:24.414,01:13.442,00:45.401,00:21.513,00:32.392,00:31.666,6.689,54,3.45,42,1.948,46,4.262,41,2.317,28,6.689,54,10.139,49,11.692,46,15.954,41,15.283,37
111,38.0,SMITH Joseph,CHAIN REACTION CYCLES / PAYPAL,01:12.434,01:57.367,02:19.144,02:51.949,03:24.524,01:12.434,00:44.933,00:21.777,00:32.805,00:32.575,5.681,42,2.982,28,2.212,54,4.675,47,3.226,50,5.681,42,8.663,37,10.48,40,15.155,40,15.393,38
114,39.0,ATWILL Philip,PROPAIN DIRT ZELVY,01:13.467,01:59.151,02:20.657,02:53.495,03:24.554,01:13.467,00:45.684,00:21.506,00:32.838,00:31.059,6.714,55,3.733,48,1.941,45,4.708,48,1.71,22,6.714,55,10.447,52,11.993,49,16.701,47,15.423,39
117,40.0,PANDUR Ziga,UNIOR TOOLS TEAM,01:13.172,01:58.559,02:20.051,02:52.819,03:24.815,01:13.172,00:45.387,00:21.492,00:32.768,00:31.996,6.419,50,3.436,41,1.927,43,4.638,46,2.647,40,6.419,50,9.855,48,11.387,45,16.025,43,15.684,40
120,41.0,LEVESQUE Dylan,,01:14.120,01:59.183,02:20.996,02:52.869,03:24.919,01:14.120,00:45.063,00:21.813,00:31.873,00:32.050,7.367,61,3.112,31,2.248,55,3.743,35,2.701,43,7.367,61,10.479,53,12.332,52,16.075,44,15.788,41
123,42.0,PEAT Steve,SANTA CRUZ SYNDICATE,01:12.545,01:57.459,02:19.081,02:53.089,03:25.239,01:12.545,00:44.914,00:21.622,00:34.008,00:32.150,5.792,45,2.963,27,2.057,50,5.878,61,2.801,46,5.792,45,8.755,40,10.417,39,16.295,46,16.108,42
126,43.0,ESTAQUE Thomas,LAC BLANC COMMENCAL,01:11.485,01:57.152,02:17.900,02:48.246,03:25.765,01:11.485,00:45.667,00:20.748,00:30.346,00:37.519,4.732,30,3.716,47,1.183,13,2.216,14,8.17,73,4.732,30,8.448,34,9.236,30,11.452,23,16.634,43
