,Rank,Name,Team,split1,split2,split3,split4,split5,sector1,sector2,sector3,sector4,sector5,sector1Gap,sector1Rank,sector2Gap,sector2Rank,sector3Gap,sector3Rank,sector4Gap,sector4Rank,sector5Gap,sector5Rank,split1Gap,split1Rank,split2Gap,split2Rank,split3Gap,split3Rank,split4Gap,split4Rank,split5Gap,split5Rank
0,1.0,BRUNI Loic,SPECIALIZED GRAVITY POWERED BY SRAM,00:55.987,02:17.048,02:40.520,03:07.458,03:23.696,00:55.987,01:21.061,00:23.472,00:26.938,00:16.238,0.032,2,0.0,1,0.765,17,0.273,9,0.377,7,0.032,2,0.0,1,0.02,2,0.184,2,0.0,1
3,2.0,BROSNAN Troy,SPECIALIZED RACING,00:55.955,02:17.714,02:40.500,03:07.274,03:24.189,00:55.955,01:21.759,00:22.786,00:26.774,00:16.915,0.0,1,0.698,4,0.079,3,0.109,3,1.054,20,0.0,1,0.666,2,0.0,1,0.0,1,0.493,2
6,3.0,HANNAH Michael,POLYGON UR,00:57.168,02:18.914,02:41.811,03:08.602,03:24.620,00:57.168,01:21.746,00:22.897,00:26.791,00:16.018,1.213,4,0.685,3,0.19,5,0.126,5,0.157,2,1.213,4,1.866,3,1.311,3,1.328,3,0.924,3
9,4.0,GWIN Aaron,THE YT MOB,00:58.027,02:19.357,02:42.099,03:09.083,03:26.648,00:58.027,01:21.330,00:22.742,00:26.984,00:17.565,2.072,13,0.269,2,0.035,2,0.319,11,1.704,41,2.072,13,2.309,5,1.599,4,1.809,4,2.952,4
12,5.0,BUTTON Joshua,,00:57.684,02:21.363,02:44.070,03:10.735,03:27.480,00:57.684,01:23.679,00:22.707,00:26.665,00:16.745,1.729,8,2.618,21,0.0,1,0.0,1,0.884,14,1.729,8,4.315,12,3.57,9,3.461,7,3.784,5
15,6.0,WILLIAMSON Greg,CUBE GLOBAL SQUAD PROTECTED BY BLISS,00:57.924,02:20.991,02:43.916,03:10.959,03:27.536,00:57.924,01:23.067,00:22.925,00:27.043,00:16.577,1.969,12,2.006,13,0.218,7,0.378,15,0.716,11,1.969,12,3.943,11,3.416,8,3.685,8,3.84,6
18,7.0,VERGIER Loris,SPECIALIZED GRAVITY POWERED BY SRAM,00:57.819,02:20.561,02:43.474,03:10.478,03:27.737,00:57.819,01:22.742,00:22.913,00:27.004,00:17.259,1.864,10,1.681,9,0.206,6,0.339,13,1.398,30,1.864,10,3.513,8,2.974,6,3.204,5,4.041,7
21,8.0,MUDD Graeme,,00:59.496,02:21.961,02:45.318,03:12.212,03:28.073,00:59.496,01:22.465,00:23.357,00:26.894,00:15.861,3.541,29,1.404,7,0.65,13,0.229,8,0.0,1,3.541,29,4.913,16,4.818,14,4.938,14,4.377,8
24,9.0,BRANNIGAN George,COMMENCAL / VALLNORD,00:58.367,02:20.447,02:44.485,03:11.507,03:28.119,00:58.367,01:22.080,00:24.038,00:27.022,00:16.612,2.412,16,1.019,6,1.331,35,0.357,14,0.751,12,2.412,16,3.399,7,3.985,12,4.233,12,4.423,9
27,10.0,THIRION Remi,COMMENCAL / VALLNORD,00:57.602,02:20.898,02:44.284,03:11.282,03:28.198,00:57.602,01:23.296,00:23.386,00:26.998,00:16.916,1.647,7,2.235,17,0.679,14,0.333,12,1.055,22,1.647,7,3.85,10,3.784,11,4.008,11,4.502,10
30,11.0,HART Danny,MS MONDRAKER TEAM,00:57.355,02:20.596,02:44.212,03:11.164,03:28.561,00:57.355,01:23.241,00:23.616,00:26.952,00:17.397,1.4,6,2.18,15,0.909,21,0.287,10,1.536,36,1.4,6,3.548,9,3.712,10,3.89,10,4.865,11
33,12.0,FEARON Connor,KONA FACTORY TEAM DH,00:56.612,02:20.400,02:43.286,03:10.699,03:28.782,00:56.612,01:23.788,00:22.886,00:27.413,00:18.083,0.657,3,2.727,23,0.179,4,0.748,32,2.222,61,0.657,3,3.352,6,2.786,5,3.425,6,5.086,12
36,13.0,SHAW Luca,SRAM/TLD RACING,00:59.368,02:22.687,02:45.766,03:12.588,03:28.803,00:59.368,01:23.319,00:23.079,00:26.822,00:16.215,3.413,27,2.258,18,0.372,10,0.157,7,0.354,5,3.413,27,5.639,22,5.266,20,5.314,16,5.107,13
39,14.0,JACKSON Eliot,PIVOT FACTORY RACING,00:58.833,02:22.104,02:45.081,03:12.146,03:29.061,00:58.833,01:23.271,00:22.977,00:27.065,00:16.915,2.878,22,2.21,16,0.27,8,0.4,17,1.054,20,2.878,22,5.056,19,4.581,13,4.872,13,5.365,14
42,15.0,GREENLAND Laurie,MS MONDRAKER TEAM,00:57.292,02:19.314,02:43.507,03:11.093,03:29.224,00:57.292,01:22.022,00:24.193,00:27.586,00:18.131,1.337,5,0.961,5,1.486,44,0.921,41,2.27,63,1.337,5,2.266,4,3.007,7,3.819,9,5.528,15
45,16.0,KERR Bernard,PIVOT FACTORY RACING,00:58.371,02:22.146,02:45.396,03:12.617,03:29.431,00:58.371,01:23.775,00:23.250,00:27.221,00:16.814,2.416,17,2.714,22,0.543,11,0.556,24,0.953,18,2.416,17,5.098,20,4.896,16,5.343,17,5.735,16
48,17.0,MINNAAR Greg,SANTA CRUZ SYNDICATE,00:58.505,02:21.477,02:45.464,03:12.622,03:29.496,00:58.505,01:22.972,00:23.987,00:27.158,00:16.874,2.55,18,1.911,11,1.28,30,0.493,22,1.013,19,2.55,18,4.429,13,4.964,17,5.348,18,5.8,17
51,18.0,JONES Michael,CHAIN REACTION CYCLES / PAYPAL,00:58.705,02:22.286,02:45.751,03:12.527,03:29.715,00:58.705,01:23.581,00:23.465,00:26.776,00:17.188,2.75,20,2.52,20,0.758,16,0.111,4,1.327,29,2.75,20,5.238,21,5.251,19,5.253,15,6.019,18
54,19.0,MACDONALD Brook,GT FACTORY RACING,00:59.427,02:22.102,02:46.213,03:13.691,03:29.758,00:59.427,01:22.675,00:24.111,00:27.478,00:16.067,3.472,28,1.614,8,1.404,42,0.813,37,0.206,3,3.472,28,5.054,17,5.713,22,6.417,22,6.062,19
57,20.0,BRYCELAND Josh,SANTA CRUZ SYNDICATE,00:58.855,02:21.817,02:45.369,03:13.134,03:30.200,00:58.855,01:22.962,00:23.552,00:27.765,00:17.066,2.9,23,1.901,10,0.845,19,1.1,49,1.205,25,2.9,23,4.769,14,4.869,15,5.86,21,6.504,20
60,21.0,SMITH Joseph,CHAIN REACTION CYCLES / PAYPAL,00:57.827,02:22.103,02:45.715,03:12.786,03:30.733,00:57.827,01:24.276,00:23.612,00:27.071,00:17.947,1.872,11,3.215,25,0.905,20,0.406,18,2.086,55,1.872,11,5.055,18,5.215,18,5.512,19,7.037,21
63,22.0,ATHERTON Gee,TREK FACTORY RACING DH,00:58.759,02:21.848,02:45.876,03:13.056,03:30.898,00:58.759,01:23.089,00:24.028,00:27.180,00:17.842,2.804,21,2.028,14,1.321,32,0.515,23,1.981,53,2.804,21,4.8,15,5.376,21,5.782,20,7.202,22
66,23.0,MULALLY Neko,GSTAAD-SCOTT,01:00.515,02:23.571,02:47.276,03:14.024,03:31.139,01:00.515,01:23.056,00:23.705,00:26.748,00:17.115,4.56,47,1.995,12,0.998,25,0.083,2,1.254,27,4.56,47,6.523,24,6.776,24,6.75,23,7.443,23
69,24.0,FISCHBACH Johannes,RADON MAGURA FACTORY,00:57.816,02:24.115,02:48.173,03:15.248,03:31.749,00:57.816,01:26.299,00:24.058,00:27.075,00:16.501,1.861,9,5.238,42,1.351,37,0.41,19,0.64,9,1.861,9,7.067,28,7.673,30,7.974,28,8.053,24
72,25.0,CUNNINGHAM Ruaridh,UNIOR TOOLS TEAM,00:58.163,02:23.714,02:47.978,03:15.296,03:32.306,00:58.163,01:25.551,00:24.264,00:27.318,00:17.010,2.208,15,4.49,36,1.557,47,0.653,29,1.149,24,2.208,15,6.666,25,7.478,29,8.022,29,8.61,25
75,26.0,WALLACE Mark,DEVINCI GLOBAL RACING,00:59.640,02:24.513,02:47.937,03:15.204,03:32.318,00:59.640,01:24.873,00:23.424,00:27.267,00:17.114,3.685,34,3.812,32,0.717,15,0.602,28,1.253,26,3.685,34,7.465,32,7.437,28,7.93,27,8.622,26
78,27.0,ZWAR Oliver,,00:59.521,02:24.213,02:48.175,03:15.625,03:32.590,00:59.521,01:24.692,00:23.962,00:27.450,00:16.965,3.566,30,3.631,30,1.255,29,0.785,34,1.104,23,3.566,30,7.165,30,7.675,31,8.351,31,8.894,27
81,28.0,HILL Samuel,CHAIN REACTION CYCLES / PAYPAL,00:58.883,02:23.720,02:47.823,03:14.921,03:32.750,00:58.883,01:24.837,00:24.103,00:27.098,00:17.829,2.928,24,3.776,31,1.396,41,0.433,21,1.968,52,2.928,24,6.672,26,7.323,26,7.647,24,9.054,28
84,29.0,PAYET Florent,VOULVOUL RACING,00:58.090,02:24.416,02:47.400,03:15.146,03:32.910,00:58.090,01:26.326,00:22.984,00:27.746,00:17.764,2.135,14,5.265,43,0.277,9,1.081,47,1.903,49,2.135,14,7.368,31,6.9,25,7.872,26,9.214,29
