,Rank,Name,Team,split1,split2,split3,split4,split5,sector1,sector2,sector3,sector4,sector5,sector1Gap,sector1Rank,sector2Gap,sector2Rank,sector3Gap,sector3Rank,sector4Gap,sector4Rank,sector5Gap,sector5Rank,split1Gap,split1Rank,split2Gap,split2Rank,split3Gap,split3Rank,split4Gap,split4Rank,split5Gap,split5Rank
0,1.0,MINNAAR Greg,SANTA CRUZ SYNDICATE,01:00.918,03:04.735,03:31.931,04:06.873,04:35.601,01:00.918,02:03.817,00:27.196,00:34.942,00:28.728,1.284,8,0.0,1,0.078,2,0.154,2,1.292,6,1.284,8,0.0,1,0.0,1,0.0,1,0.0,1
3,2.0,GWIN Aaron,THE YT MOB,01:01.069,03:07.181,03:34.610,04:10.264,04:38.958,01:01.069,02:06.112,00:27.429,00:35.654,00:28.694,1.435,10,2.295,4,0.311,3,0.866,5,1.258,5,1.435,10,2.446,4,2.679,4,3.391,4,3.357,2
6,3.0,HART Danny,MS MONDRAKER TEAM,00:59.634,03:05.051,03:32.844,04:09.174,04:39.596,00:59.634,02:05.417,00:27.793,00:36.330,00:30.422,0.0,1,1.6,3,0.675,6,1.542,13,2.986,47,0.0,1,0.316,2,0.913,2,2.301,2,3.995,3
9,4.0,BRAYTON Adam,,01:01.893,03:06.291,03:33.409,04:10.042,04:39.647,01:01.893,02:04.398,00:27.118,00:36.633,00:29.605,2.259,21,0.581,2,0.0,1,1.845,20,2.169,19,2.259,21,1.556,3,1.478,3,3.169,3,4.046,4
12,5.0,BROSNAN Troy,SPECIALIZED RACING,01:01.118,03:08.225,03:36.239,04:11.027,04:40.335,01:01.118,02:07.107,00:28.014,00:34.788,00:29.308,1.484,11,3.29,7,0.896,12,0.0,1,1.872,11,1.484,11,3.49,6,4.308,6,4.154,5,4.734,5
15,6.0,SHAW Luca,SRAM/TLD RACING,01:00.896,03:09.225,03:37.361,04:12.371,04:41.687,01:00.896,02:08.329,00:28.136,00:35.010,00:29.316,1.262,7,4.512,12,1.018,14,0.222,3,1.88,12,1.262,7,4.49,10,5.43,9,5.498,8,6.086,6
18,7.0,WILLIAMSON Greg,CUBE GLOBAL SQUAD PROTECTED BY BLISS,01:01.731,03:08.566,03:36.256,04:12.260,04:41.788,01:01.731,02:06.835,00:27.690,00:36.004,00:29.528,2.097,18,3.018,5,0.572,5,1.216,9,2.092,18,2.097,18,3.831,8,4.325,7,5.387,7,6.187,7
21,8.0,GREENLAND Laurie,MS MONDRAKER TEAM,01:01.064,03:07.983,03:35.860,04:11.683,04:41.886,01:01.064,02:06.919,00:27.877,00:35.823,00:30.203,1.43,9,3.102,6,0.759,9,1.035,8,2.767,41,1.43,9,3.248,5,3.929,5,4.81,6,6.285,8
24,9.0,THIRION Remi,COMMENCAL / VALLNORD,01:02.518,03:10.570,03:38.421,04:14.977,04:43.565,01:02.518,02:08.052,00:27.851,00:36.556,00:28.588,2.884,38,4.235,10,0.733,8,1.768,16,1.152,4,2.884,38,5.835,14,6.49,12,8.104,12,7.964,9
27,10.0,FEARON Connor,KONA FACTORY TEAM DH,01:01.978,03:11.602,03:39.076,04:14.743,04:44.125,01:01.978,02:09.624,00:27.474,00:35.667,00:29.382,2.344,25,5.807,19,0.356,4,0.879,7,1.946,14,2.344,25,6.867,20,7.145,14,7.87,10,8.524,10
30,11.0,MACDONALD Brook,GT FACTORY RACING,01:01.900,03:12.208,03:40.473,04:16.131,04:44.345,01:01.900,02:10.308,00:28.265,00:35.658,00:28.214,2.266,22,6.491,21,1.147,20,0.87,6,0.778,2,2.266,22,7.473,23,8.542,20,9.258,16,8.744,11
33,12.0,PAYET Florent,VOULVOUL RACING,01:01.247,03:08.750,03:37.439,04:15.155,04:45.484,01:01.247,02:07.503,00:28.689,00:37.716,00:30.329,1.613,14,3.686,8,1.571,32,2.928,53,2.893,45,1.613,14,4.015,9,5.508,10,8.282,13,9.883,12
36,13.0,MARIN TRILLO Alex,GIANT FACTORY OFF-ROAD TEAM,01:02.252,03:10.463,03:38.547,04:15.903,04:45.757,01:02.252,02:08.211,00:28.084,00:37.356,00:29.854,2.618,31,4.394,11,0.966,13,2.568,42,2.418,28,2.618,31,5.728,12,6.616,13,9.03,15,10.156,13
39,14.0,FAIRCLOUGH Brendan,GSTAAD-SCOTT,01:01.921,03:10.545,03:38.371,04:15.187,04:46.104,01:01.921,02:08.624,00:27.826,00:36.816,00:30.917,2.287,23,4.807,14,0.708,7,2.028,27,3.481,59,2.287,23,5.81,13,6.44,11,8.314,14,10.503,14
42,15.0,BRYCELAND Josh,SANTA CRUZ SYNDICATE,01:01.884,03:11.162,03:39.377,04:16.161,04:46.239,01:01.884,02:09.278,00:28.215,00:36.784,00:30.078,2.25,20,5.461,17,1.097,16,1.996,24,2.642,35,2.25,20,6.427,16,7.446,17,9.288,17,10.638,15
45,16.0,ATWILL Philip,PROPAIN DIRT ZELVY,01:02.564,03:11.565,03:39.932,04:16.445,04:46.246,01:02.564,02:09.001,00:28.367,00:36.513,00:29.801,2.93,39,5.184,16,1.249,24,1.725,15,2.365,25,2.93,39,6.83,19,8.001,19,9.572,18,10.645,16
48,17.0,TRUMMER David,RRP,01:01.264,03:11.244,03:39.200,04:16.455,04:46.582,01:01.264,02:09.980,00:27.956,00:37.255,00:30.127,1.63,15,6.163,20,0.838,10,2.467,38,2.691,37,1.63,15,6.509,18,7.269,15,9.582,19,10.981,17
51,17.0,GALLAGHER Kenta,,01:03.058,03:12.523,03:41.098,04:17.180,04:46.582,01:03.058,02:09.465,00:28.575,00:36.082,00:29.402,3.424,51,5.648,18,1.457,30,1.294,10,1.966,15,3.424,51,7.788,25,9.167,24,10.307,22,10.981,17
54,19.0,VERGIER Loris,SPECIALIZED GRAVITY POWERED BY SRAM,00:59.800,03:08.395,03:36.368,04:14.635,04:46.870,00:59.800,02:08.595,00:27.973,00:38.267,00:32.235,0.166,2,4.778,13,0.855,11,3.479,61,4.799,70,0.166,2,3.66,7,4.437,8,7.762,9,11.269,19
57,20.0,COULANGES Benoit,DORVAL AM NICOLAI,01:02.402,03:11.102,03:39.340,04:16.513,04:47.197,01:02.402,02:08.700,00:28.238,00:37.173,00:30.684,2.768,36,4.883,15,1.12,18,2.385,34,3.248,54,2.768,36,6.367,15,7.409,16,9.64,20,11.596,20
60,21.0,HILL Samuel,CHAIN REACTION CYCLES / PAYPAL,01:02.052,03:12.702,03:40.960,04:17.159,04:47.205,01:02.052,02:10.650,00:28.258,00:36.199,00:30.046,2.418,26,6.833,23,1.14,19,1.411,11,2.61,33,2.418,26,7.967,26,9.029,23,10.286,21,11.604,21
63,22.0,SIMMONDS Matthew,MADISON SARACEN FACTORY TEAM,01:01.180,03:12.422,03:41.642,04:18.338,04:47.406,01:01.180,02:11.242,00:29.220,00:36.696,00:29.068,1.546,12,7.425,26,2.102,58,1.908,21,1.632,9,1.546,12,7.687,24,9.711,25,11.465,24,11.805,22
66,23.0,HANNAH Michael,POLYGON UR,01:03.055,03:15.374,03:43.654,04:20.261,04:47.697,01:03.055,02:12.319,00:28.280,00:36.607,00:27.436,3.421,50,8.502,39,1.162,21,1.819,18,0.0,1,3.421,50,10.639,40,11.723,37,13.388,31,12.096,23
69,24.0,MUDD Graeme,,01:02.286,03:14.490,03:43.392,04:20.560,04:48.780,01:02.286,02:12.204,00:28.902,00:37.168,00:28.220,2.652,32,8.387,36,1.784,44,2.38,32,0.784,3,2.652,32,9.755,31,11.461,34,13.687,32,13.179,24
72,25.0,FISCHBACH Johannes,RADON MAGURA FACTORY,01:01.740,03:14.552,03:42.840,04:19.460,04:48.873,01:01.740,02:12.812,00:28.288,00:36.620,00:29.413,2.106,19,8.995,43,1.17,22,1.832,19,1.977,16,2.106,19,9.817,33,10.909,28,12.587,25,13.272,25
75,26.0,MOIR Jack,INTENSE FACTORY RACING,01:02.951,03:14.986,03:43.504,04:20.064,04:49.061,01:02.951,02:12.035,00:28.518,00:36.560,00:28.997,3.317,48,8.218,33,1.4,27,1.772,17,1.561,8,3.317,48,10.251,36,11.573,35,13.191,30,13.46,26
78,27.0,GANNICOTT George,ONE VISION GLOBAL RACING,01:02.133,03:14.154,03:43.199,04:19.687,04:49.411,01:02.133,02:12.021,00:29.045,00:36.488,00:29.724,2.499,27,8.204,32,1.927,54,1.7,14,2.288,22,2.499,27,9.419,30,11.268,32,12.814,27,13.81,27
81,28.0,SMITH Joseph,CHAIN REACTION CYCLES / PAYPAL,01:01.707,03:13.882,03:42.694,04:19.615,04:49.758,01:01.707,02:12.175,00:28.812,00:36.921,00:30.143,2.073,17,8.358,35,1.694,36,2.133,28,2.707,38,2.073,17,9.147,27,10.763,27,12.742,26,14.157,28
84,29.0,PEAT Steve,SANTA CRUZ SYNDICATE,01:02.879,03:14.138,03:43.044,04:19.770,04:49.859,01:02.879,02:11.259,00:28.906,00:36.726,00:30.089,3.245,46,7.442,27,1.788,45,1.938,22,2.653,36,3.245,46,9.403,29,11.113,31,12.897,28,14.258,29
87,30.0,READING Jack,ONE VISION GLOBAL RACING,01:02.135,03:14.086,03:42.995,04:19.932,04:50.669,01:02.135,02:11.951,00:28.909,00:36.937,00:30.737,2.501,28,8.134,31,1.791,47,2.149,30,3.301,56,2.501,28,9.351,28,11.064,29,13.059,29,15.068,30
90,31.0,PEKOLL Markus,MS MONDRAKER TEAM,01:01.356,03:15.298,03:44.226,04:21.539,04:51.574,01:01.356,02:13.942,00:28.928,00:37.313,00:30.035,1.722,16,10.125,51,1.81,48,2.525,39,2.599,32,1.722,16,10.563,38,12.295,38,14.666,35,15.973,31
93,32.0,PIERRON Baptiste,VOULVOUL RACING,01:02.568,03:14.503,03:43.337,04:20.855,04:51.599,01:02.568,02:11.935,00:28.834,00:37.518,00:30.744,2.934,40,8.118,30,1.716,38,2.73,50,3.308,57,2.934,40,9.768,32,11.406,33,13.982,33,15.998,32
96,33.0,CHAPMAN Rupert,BERGAMONT HAYES FACTORY TEAM,01:02.336,03:14.608,03:43.011,04:21.167,04:51.697,01:02.336,02:12.272,00:28.403,00:38.156,00:30.530,2.702,35,8.455,38,1.285,25,3.368,60,3.094,50,2.702,35,9.873,34,11.08,30,14.294,34,16.096,33
99,34.0,CABIROU Rudy,VOULVOUL RACING,01:02.719,03:15.578,03:44.472,04:21.721,04:51.947,01:02.719,02:12.859,00:28.894,00:37.249,00:30.226,3.085,41,9.042,44,1.776,43,2.461,37,2.79,42,3.085,41,10.843,44,12.541,41,14.848,36,16.346,34
102,35.0,FIGARET Faustin,RADON MAGURA FACTORY,01:03.888,03:16.369,03:45.139,04:22.481,04:52.221,01:03.888,02:12.481,00:28.770,00:37.342,00:29.740,4.254,67,8.664,40,1.652,33,2.554,40,2.304,23,4.254,67,11.634,46,13.208,44,15.608,41,16.62,35
