,Name,split1,split2,split3,split4,split5,sector1,sector2,sector3,sector4,sector5,sector1Gap,sector1Rank,sector2Gap,sector2Rank,sector3Gap,sector3Rank,sector4Gap,sector4Rank,sector5Gap,sector5Rank,split1Gap,split1Rank,split2Gap,split2Rank,split3Gap,split3Rank,split4Gap,split4Rank,split5Gap,split5Rank
0,GWIN Aaron,00:52.433,01:32.212,02:10.970,02:57.720,03:28.686,00:52.433,00:39.779,00:38.758,00:46.750,00:30.966,0.344,2,0.911,2,0.0,1,0.0,1,0.041,2,0.344,2,1.255,2,0.0,1,0.0,1,0.0,1
1,VERGIER Loris,00:52.089,01:30.957,02:11.501,03:00.175,03:31.817,00:52.089,00:38.868,00:40.544,00:48.674,00:31.642,0.0,1,0.0,1,1.786,5,1.924,6,0.717,4,0.0,1,0.0,1,0.531,2,2.455,2,3.131,2
2,BROSNAN Troy,00:52.502,01:32.689,02:13.303,03:01.879,03:32.804,00:52.502,00:40.187,00:40.614,00:48.576,00:30.925,0.413,3,1.319,5,1.856,7,1.826,5,0.0,1,0.413,3,1.732,3,2.333,3,4.159,4,4.118,3
3,HART Danny,00:53.070,01:33.014,02:13.614,03:01.691,03:34.055,00:53.070,00:39.944,00:40.600,00:48.077,00:32.364,0.981,7,1.076,3,1.842,6,1.327,3,1.439,16,0.981,7,2.057,4,2.644,5,3.971,3,5.369,4
4,MINNAAR Greg,00:52.855,01:33.467,02:13.459,03:03.101,03:35.165,00:52.855,00:40.612,00:39.992,00:49.642,00:32.064,0.766,4,1.744,7,1.234,2,2.892,16,1.139,10,0.766,4,2.51,5,2.489,4,5.381,5,6.479,5
5,WILLIAMSON Greg,00:53.031,01:34.167,02:16.123,03:05.146,03:37.116,00:53.031,00:41.136,00:41.956,00:49.023,00:31.970,0.942,6,2.268,8,3.198,21,2.273,10,1.045,9,0.942,6,3.21,7,5.153,7,7.426,6,8.43,6
6,KERR Bernard,00:53.767,01:35.472,02:16.835,03:05.510,03:37.192,00:53.767,00:41.705,00:41.363,00:48.675,00:31.682,1.678,11,2.837,12,2.605,12,1.925,7,0.757,5,1.678,11,4.515,12,5.865,10,7.79,9,8.506,7
7,FEARON Connor,00:53.301,01:34.871,02:17.446,03:05.914,03:37.661,00:53.301,00:41.570,00:42.575,00:48.468,00:31.747,1.212,9,2.702,11,3.817,37,1.718,4,0.822,6,1.212,9,3.914,8,6.476,14,8.194,10,8.975,8
8,SMITH Joseph,00:53.981,01:34.142,02:15.920,03:05.366,03:38.661,00:53.981,00:40.161,00:41.778,00:49.446,00:33.295,1.892,14,1.293,4,3.02,18,2.696,13,2.37,43,1.892,14,3.185,6,4.95,6,7.646,8,9.975,9
9,THIRION Remi,00:53.824,01:35.029,02:17.101,03:06.051,03:38.784,00:53.824,00:41.205,00:42.072,00:48.950,00:32.733,1.735,12,2.337,9,3.314,22,2.2,8,1.808,22,1.735,12,4.072,11,6.131,11,8.331,11,10.098,10
10,HANNAH Michael,00:54.116,01:36.570,02:16.629,03:07.485,03:39.415,00:54.116,00:42.454,00:40.059,00:50.856,00:31.930,2.027,18,3.586,28,1.301,3,4.106,33,1.005,8,2.027,18,5.613,22,5.659,9,9.765,14,10.729,11
11,SIMMONDS Matthew,00:52.882,01:34.875,02:16.210,03:06.392,03:39.664,00:52.882,00:41.993,00:41.335,00:50.182,00:33.272,0.793,5,3.125,17,2.577,11,3.432,24,2.347,42,0.793,5,3.918,9,5.24,8,8.672,12,10.978,12
12,GUTIERREZ VILLEGAS Marcelo,00:54.494,01:36.512,02:17.979,03:07.877,03:40.410,00:54.494,00:42.018,00:41.467,00:49.898,00:32.533,2.405,23,3.15,19,2.709,14,3.148,19,1.608,20,2.405,23,5.555,19,7.009,16,10.157,15,11.724,13
13,ATWILL Philip,00:54.571,01:36.456,02:19.294,03:08.435,03:40.629,00:54.571,00:41.885,00:42.838,00:49.141,00:32.194,2.482,25,3.017,13,4.08,46,2.391,11,1.269,11,2.482,25,5.499,18,8.324,21,10.715,16,11.943,14
14,ATHERTON Gee,00:54.089,01:36.534,02:17.772,03:07.235,03:40.797,00:54.089,00:42.445,00:41.238,00:49.463,00:33.562,2.0,17,3.577,27,2.48,10,2.713,14,2.637,53,2.0,17,5.577,20,6.802,15,9.515,13,12.111,15
15,MARIN TRILLO Alex,00:53.413,01:35.793,02:18.226,03:08.543,03:41.620,00:53.413,00:42.380,00:42.433,00:50.317,00:33.077,1.324,10,3.512,24,3.675,34,3.567,26,2.152,36,1.324,10,4.836,14,7.256,18,10.823,17,12.934,16
16,CHAPMAN Rupert,00:54.041,01:36.211,02:18.428,03:09.465,03:42.193,00:54.041,00:42.170,00:42.217,00:51.037,00:32.728,1.952,16,3.302,20,3.459,27,4.287,36,1.803,21,1.952,16,5.254,17,7.458,19,11.745,18,13.507,17
17,MACDONALD Brook,00:54.726,01:38.478,02:19.629,03:09.938,03:42.250,00:54.726,00:43.752,00:41.151,00:50.309,00:32.312,2.637,29,4.884,53,2.393,9,3.559,25,1.387,13,2.637,29,7.521,37,8.659,24,12.218,23,13.564,18
18,GREENLAND Laurie,00:55.466,01:36.058,02:18.204,03:09.791,03:42.745,00:55.466,00:40.592,00:42.146,00:51.587,00:32.954,3.377,45,1.724,6,3.388,24,4.837,48,2.029,31,3.377,45,5.101,16,7.234,17,12.071,19,14.059,19
19,MASTERS Edward,00:54.314,01:36.876,02:19.554,03:09.879,03:42.874,00:54.314,00:42.562,00:42.678,00:50.325,00:32.995,2.225,22,3.694,29,3.92,39,3.575,27,2.07,33,2.225,22,5.919,23,8.584,22,12.159,21,14.188,20
20,COULANGES Benoit,00:55.265,01:37.705,02:20.417,03:09.823,03:43.063,00:55.265,00:42.440,00:42.712,00:49.406,00:33.240,3.176,42,3.572,26,3.954,41,2.656,12,2.315,41,3.176,42,6.748,30,9.447,31,12.103,20,14.377,21
21,BRAYTON Adam,00:55.012,01:38.236,02:21.475,03:11.169,03:43.077,00:55.012,00:43.224,00:43.239,00:49.694,00:31.908,2.923,36,4.356,39,4.481,56,2.944,17,0.983,7,2.923,36,7.279,33,10.505,38,13.449,26,14.391,22
22,SUAREZ ALONSO Angel,00:54.619,01:36.547,02:18.945,03:10.505,03:43.266,00:54.619,00:41.928,00:42.398,00:51.560,00:32.761,2.53,26,3.06,14,3.64,32,4.81,46,1.836,23,2.53,26,5.59,21,7.975,20,12.785,25,14.58,23
