,Rank,Name,Team,split1,split2,split3,split4,split5,sector1,sector2,sector3,sector4,sector5,sector1Gap,sector1Rank,sector2Gap,sector2Rank,sector3Gap,sector3Rank,sector4Gap,sector4Rank,sector5Gap,sector5Rank,split1Gap,split1Rank,split2Gap,split2Rank,split3Gap,split3Rank,split4Gap,split4Rank,split5Gap,split5Rank
0,1.0,HART Danny,MS MONDRAKER TEAM,00:49.902,02:02.143,02:42.832,03:30.471,03:59.754,00:49.902,01:12.241,00:40.689,00:47.639,00:29.283,0.0,1,0.312,2,0.0,1,0.292,5,0.916,8,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
3,2.0,GWIN Aaron,THE YT MOB,00:50.755,02:02.684,02:43.868,03:31.282,04:00.423,00:50.755,01:11.929,00:41.184,00:47.414,00:29.141,0.853,5,0.0,1,0.495,5,0.067,2,0.774,6,0.853,5,0.541,2,1.036,2,0.811,2,0.669,2
6,3.0,BRUNI Loic,SPECIALIZED GRAVITY POWERED BY SRAM,00:50.541,02:02.856,02:44.030,03:31.377,04:00.792,00:50.541,01:12.315,00:41.174,00:47.347,00:29.415,0.639,3,0.386,3,0.485,4,0.0,1,1.048,9,0.639,3,0.713,3,1.198,3,0.906,3,1.038,3
9,4.0,BROSNAN Troy,SPECIALIZED RACING,00:51.076,02:05.531,02:47.206,03:34.711,04:03.418,00:51.076,01:14.455,00:41.675,00:47.505,00:28.707,1.174,12,2.526,13,0.986,6,0.158,3,0.34,2,1.174,12,3.388,8,4.374,6,4.24,4,3.664,4
12,5.0,SHAW Luca,SRAM/TLD RACING,00:51.294,02:05.436,02:46.562,03:35.054,04:03.421,00:51.294,01:14.142,00:41.126,00:48.492,00:28.367,1.392,18,2.213,8,0.437,3,1.145,7,0.0,1,1.392,18,3.293,7,3.73,4,4.583,6,3.667,5
15,6.0,MINNAAR Greg,SANTA CRUZ SYNDICATE,00:51.163,02:04.801,ays 00:02,03:34.799,04:03.583,00:51.163,01:13.638,00:42.199,00:47.799,00:28.784,1.261,13,1.709,4,1.51,10,0.452,6,0.417,3,1.261,13,2.658,4,4.168,5,4.328,5,3.829,6
18,7.0,BRANNIGAN George,COMMENCAL / VALLNORD,00:50.622,02:06.292,02:48.505,03:36.010,04:05.571,00:50.622,01:15.670,00:42.213,00:47.505,00:29.561,0.72,4,3.741,35,1.524,11,0.158,3,1.194,12,0.72,4,4.149,19,5.673,11,5.539,7,5.817,7
21,8.0,MACDONALD Brook,GT FACTORY RACING,00:50.991,02:06.456,02:48.421,03:37.311,04:06.299,00:50.991,01:15.465,00:41.965,00:48.890,00:28.988,1.089,10,3.536,31,1.276,7,1.543,11,0.621,5,1.089,10,4.313,21,5.589,10,6.84,8,6.545,8
24,9.0,BLENKINSOP Samuel,NORCO FACTORY RACING,00:51.900,02:07.324,02:49.442,03:37.955,04:06.853,00:51.900,01:15.424,00:42.118,00:48.513,00:28.898,1.998,38,3.495,28,1.429,9,1.166,8,0.531,4,1.998,38,5.181,32,6.61,20,7.484,10,7.099,9
27,10.0,PAYET Florent,VOULVOUL RACING,00:51.343,02:05.729,02:47.817,03:37.468,04:07.210,00:51.343,01:14.386,00:42.088,00:49.651,00:29.742,1.441,20,2.457,11,1.399,8,2.304,26,1.375,19,1.441,20,3.586,13,4.985,7,6.997,9,7.456,10
30,11.0,ATHERTON Gee,TREK FACTORY RACING DH,00:51.184,02:06.158,02:49.276,03:38.049,04:07.275,00:51.184,01:14.974,00:43.118,00:48.773,00:29.226,1.282,15,3.045,20,2.429,23,1.426,9,0.859,7,1.282,15,4.015,18,6.444,19,7.578,11,7.521,11
33,12.0,FAIRCLOUGH Brendan,GSTAAD-SCOTT,00:51.459,02:05.950,02:48.412,03:38.194,04:07.646,00:51.459,01:14.491,00:42.462,00:49.782,00:29.452,1.557,22,2.562,15,1.773,15,2.435,27,1.085,10,1.557,22,3.807,16,5.58,9,7.723,13,7.892,12
36,13.0,WILLIAMSON Greg,CUBE GLOBAL SQUAD PROTECTED BY BLISS,00:51.310,02:05.925,02:48.916,03:38.088,04:08.062,00:51.310,01:14.615,00:42.991,00:49.172,00:29.974,1.408,19,2.686,17,2.302,22,1.825,17,1.607,33,1.408,19,3.782,15,6.084,18,7.617,12,8.308,13
39,14.0,PEKOLL Markus,MS MONDRAKER TEAM,00:51.557,02:06.493,02:48.904,03:38.332,04:08.351,00:51.557,01:14.936,00:42.411,00:49.428,00:30.019,1.655,25,3.007,19,1.722,14,2.081,22,1.652,36,1.655,25,4.35,23,6.072,17,7.861,14,8.597,14
42,15.0,FEARON Connor,KONA FACTORY TEAM DH,00:52.244,02:06.775,02:49.567,03:38.926,04:08.651,00:52.244,01:14.531,00:42.792,00:49.359,00:29.725,2.342,48,2.602,16,2.103,17,2.012,19,1.358,17,2.342,48,4.632,25,6.735,22,8.455,16,8.897,15
45,16.0,GUTIERREZ VILLEGAS Marcelo,GIANT FACTORY OFF-ROAD TEAM,00:51.282,02:05.382,02:48.652,03:39.314,04:08.961,00:51.282,01:14.100,00:43.270,00:50.662,00:29.647,1.38,17,2.171,7,2.581,27,3.315,38,1.28,15,1.38,17,3.239,6,5.82,13,8.843,19,9.207,16
48,17.0,ATWILL Philip,PROPAIN DIRT ZELVY,00:52.124,02:05.823,02:48.707,03:39.027,ays 00:04,00:52.124,01:13.699,00:42.884,00:50.320,00:29.973,2.222,43,1.77,5,2.195,20,2.973,35,1.606,32,2.222,43,3.68,14,5.875,14,8.556,17,9.246,17
51,18.0,KERR Bernard,PIVOT FACTORY RACING,00:51.581,02:06.011,02:48.886,03:39.049,04:09.014,00:51.581,01:14.430,00:42.875,00:50.163,00:29.965,1.679,29,2.501,12,2.186,19,2.816,34,1.598,31,1.679,29,3.868,17,6.054,15,8.578,18,9.26,18
54,19.0,READING Jack,ONE VISION GLOBAL RACING,00:51.363,02:05.588,02:47.928,03:38.872,04:09.262,00:51.363,01:14.225,00:42.340,00:50.944,00:30.390,1.461,21,2.296,9,1.651,12,3.597,42,2.023,51,1.461,21,3.445,10,5.096,8,8.401,15,9.508,19
57,20.0,CUNNINGHAM Ruaridh,UNIOR TOOLS TEAM,00:50.923,02:05.709,02:49.463,03:39.413,04:09.411,00:50.923,01:14.786,00:43.754,00:49.950,00:29.998,1.021,9,2.857,18,3.065,39,2.603,30,1.631,34,1.021,9,3.566,12,6.631,21,8.942,20,9.657,20
60,21.0,LUCAS Dean,INTENSE FACTORY RACING,00:50.828,02:05.062,02:48.896,03:39.853,04:09.815,00:50.828,01:14.234,00:43.834,00:50.957,00:29.962,0.926,8,2.305,10,3.145,40,3.61,43,1.595,30,0.926,8,2.919,5,6.064,16,9.382,22,10.061,21
63,22.0,FAYOLLE Alexandre,POLYGON UR,00:52.160,02:08.160,02:50.546,03:39.699,04:09.921,00:52.160,ays 00:01,00:42.386,00:49.153,00:30.222,2.258,45,4.071,41,1.697,13,1.806,16,1.855,45,2.258,45,6.017,45,7.714,28,9.228,21,10.167,22
66,23.0,HARRISON Charlie,,00:52.271,02:07.513,02:51.080,03:40.580,04:10.060,00:52.271,01:15.242,00:43.567,00:49.500,00:29.480,2.369,49,3.313,23,2.878,33,2.153,23,1.113,11,2.369,49,5.37,34,8.248,34,10.109,25,10.306,23
69,24.0,THIRION Remi,COMMENCAL / VALLNORD,00:51.566,02:08.058,02:50.970,03:39.910,04:10.118,00:51.566,01:16.492,00:42.912,00:48.940,00:30.208,1.664,27,4.563,51,2.223,21,1.593,12,1.841,44,1.664,27,5.915,42,8.138,33,9.439,23,10.364,24
72,25.0,WALLACE Mark,DEVINCI GLOBAL RACING,00:52.028,02:08.159,02:51.396,03:40.466,04:10.255,00:52.028,01:16.131,00:43.237,00:49.070,00:29.789,2.126,42,4.202,44,2.548,26,1.723,14,1.422,22,2.126,42,6.016,44,8.564,39,9.995,24,10.501,25
75,26.0,JACKSON Eliot,PIVOT FACTORY RACING,00:51.557,02:05.553,02:49.687,03:40.604,04:10.354,00:51.557,01:13.996,00:44.134,00:50.917,00:29.750,1.655,25,2.067,6,3.445,54,3.57,41,1.383,20,1.655,25,3.41,9,6.855,23,10.133,26,10.6,26
78,27.0,MACKINNON Kiran,,00:51.848,02:07.831,02:50.641,03:40.640,04:10.448,00:51.848,01:15.983,00:42.810,00:49.999,00:29.808,1.946,36,4.054,40,2.121,18,2.652,32,1.441,24,1.946,36,5.688,38,7.809,30,10.169,27,10.694,27
81,28.0,WALKER Matthew,CUBE GLOBAL SQUAD PROTECTED BY BLISS,00:51.710,02:07.609,02:51.677,03:40.914,04:10.623,00:51.710,01:15.899,00:44.068,00:49.237,00:29.709,1.808,33,3.97,39,3.379,50,1.89,18,1.342,16,1.808,33,5.466,35,8.845,40,10.443,30,10.869,28
84,29.0,VERNON Taylor,TREK FACTORY RACING DH,00:51.690,02:07.120,02:49.732,03:40.858,04:10.857,00:51.690,01:15.430,00:42.612,00:51.126,00:29.999,1.788,32,3.501,29,1.923,16,3.779,47,1.632,35,1.788,32,4.977,29,6.9,24,10.387,29,11.103,29
87,30.0,SCHROEDER Jason,,00:52.583,02:07.920,02:52.228,03:41.263,04:11.088,00:52.583,01:15.337,00:44.308,00:49.035,00:29.825,2.681,56,3.408,25,3.619,58,1.688,13,1.458,25,2.681,56,5.777,39,9.396,45,10.792,32,11.334,30
90,31.0,FIGARET Faustin,RADON MAGURA FACTORY,00:51.231,02:06.682,02:51.102,03:41.427,04:11.196,00:51.231,01:15.451,00:44.420,00:50.325,00:29.769,1.329,16,3.522,30,3.731,63,2.978,36,1.402,21,1.329,16,4.539,24,8.27,35,10.956,34,11.442,31
93,32.0,TRUMMER David,RRP,00:51.952,02:07.803,02:50.930,03:40.749,04:11.199,00:51.952,01:15.851,00:43.127,00:49.819,00:30.450,2.05,39,3.922,38,2.438,24,2.472,28,2.083,52,2.05,39,5.66,37,8.098,32,10.278,28,11.445,32
96,33.0,BRYCELAND Josh,SANTA CRUZ SYNDICATE,00:51.467,02:06.833,02:50.770,03:41.180,04:11.261,00:51.467,01:15.366,00:43.937,00:50.410,00:30.081,1.565,23,3.437,26,3.248,46,3.063,37,1.714,39,1.565,23,4.69,26,7.938,31,10.709,31,11.507,33
99,34.0,HANNAH Michael,POLYGON UR,00:52.378,02:07.954,02:52.066,03:41.624,04:11.418,00:52.378,01:15.576,00:44.112,00:49.558,00:29.794,2.476,52,3.647,33,3.423,52,2.211,24,1.427,23,2.476,52,5.811,40,9.234,43,11.153,36,11.664,34
102,35.0,MASTERS Edward,BERGAMONT HAYES FACTORY TEAM,00:51.022,02:06.443,02:49.936,03:41.370,04:12.094,00:51.022,01:15.421,00:43.493,00:51.434,00:30.724,1.12,11,3.492,27,2.804,32,4.087,53,2.357,64,1.12,11,4.3,20,7.104,25,10.899,33,12.34,35
105,36.0,SUAREZ ALONSO Angel,THE YT MOB,00:51.554,02:06.848,02:49.983,03:41.450,04:12.151,00:51.554,01:15.294,00:43.135,00:51.467,00:30.701,1.652,24,3.365,24,2.446,25,4.12,55,2.334,63,1.652,24,4.705,27,7.151,26,10.979,35,12.397,36
108,37.0,FISCHBACH Johannes,RADON MAGURA FACTORY,00:50.824,02:06.460,02:50.468,03:41.793,04:12.158,00:50.824,01:15.636,00:44.008,00:51.325,00:30.365,0.922,7,3.707,34,3.319,48,3.978,49,1.998,50,0.922,7,4.317,22,7.636,27,11.322,37,12.404,37
