,Rank,Name,Team,split1,split2,split3,split4,split5,sector1,sector2,sector3,sector4,sector5,sector1Gap,sector1Rank,sector2Gap,sector2Rank,sector3Gap,sector3Rank,sector4Gap,sector4Rank,sector5Gap,sector5Rank,split1Gap,split1Rank,split2Gap,split2Rank,split3Gap,split3Rank,split4Gap,split4Rank,split5Gap,split5Rank
0,1.0,HART Danny,MS MONDRAKER TEAM,01:29.396,02:14.803,03:09.628,03:32.692,04:13.611,01:29.396,00:45.407,00:54.825,00:23.064,00:40.919,0.0,1,0.0,1,0.0,1,0.215,4,1.587,10,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
3,2.0,MINNAAR Greg,SANTA CRUZ SYNDICATE,01:30.262,02:16.614,03:12.913,03:35.848,04:16.409,01:30.262,00:46.352,00:56.299,00:22.935,00:40.561,0.866,4,0.945,2,1.474,8,0.086,3,1.229,5,0.866,4,1.811,2,3.285,2,3.156,2,2.798,2
6,3.0,BRUNI Loic,SPECIALIZED GRAVITY POWERED BY SRAM,01:30.804,02:17.254,03:13.569,03:37.008,04:16.995,01:30.804,00:46.450,00:56.315,00:23.439,00:39.987,1.408,8,1.043,3,1.49,9,0.59,6,0.655,2,1.408,8,2.451,4,3.941,3,4.316,3,3.384,3
9,4.0,FAYOLLE Alexandre,POLYGON UR,01:30.456,02:17.969,03:14.204,03:37.627,04:18.933,01:30.456,00:47.513,00:56.235,00:23.423,00:41.306,1.06,6,2.106,13,1.41,6,0.574,5,1.974,17,1.06,6,3.166,8,4.576,6,4.935,4,5.322,4
12,5.0,FEARON Connor,KONA FACTORY TEAM DH,01:30.306,02:17.359,03:13.852,03:38.102,04:19.176,01:30.306,00:47.053,00:56.493,00:24.250,00:41.074,0.91,5,1.646,8,1.668,13,1.401,19,1.742,13,0.91,5,2.556,5,4.224,4,5.41,5,5.565,5
15,6.0,GUTIERREZ VILLEGAS Marcelo,GIANT FACTORY OFF-ROAD TEAM,01:31.641,02:18.199,03:14.936,03:39.439,04:19.721,01:31.641,00:46.558,00:56.737,00:24.503,00:40.282,2.245,19,1.151,5,1.912,19,1.654,23,0.95,4,2.245,19,3.396,11,5.308,12,6.747,11,6.11,6
18,7.0,BRAYTON Adam,,01:31.486,02:19.247,03:14.912,03:39.389,04:20.474,01:31.486,00:47.761,00:55.665,00:24.477,00:41.085,2.09,16,2.354,21,0.84,2,1.628,22,1.753,14,2.09,16,4.444,16,5.284,11,6.697,9,6.863,7
21,8.0,PEKOLL Markus,MS MONDRAKER TEAM,01:31.017,02:18.240,03:14.703,03:38.694,04:20.516,01:31.017,00:47.223,00:56.463,00:23.991,00:41.822,1.621,11,1.816,11,1.638,11,1.142,11,2.49,23,1.621,11,3.437,12,5.075,8,6.002,6,6.905,8
24,9.0,GREENLAND Laurie,MS MONDRAKER TEAM,01:31.438,02:19.321,03:15.786,03:39.428,04:20.630,01:31.438,00:47.883,00:56.465,00:23.642,00:41.202,2.042,15,2.476,25,1.64,12,0.793,9,1.87,16,2.042,15,4.518,17,6.158,15,6.736,10,7.019,9
27,10.0,MOIR Jack,INTENSE FACTORY RACING,01:31.717,02:18.742,03:15.944,03:39.839,04:20.774,01:31.717,00:47.025,00:57.202,00:23.895,00:40.935,2.321,21,1.618,7,2.377,31,1.046,10,1.603,11,2.321,21,3.939,14,6.316,16,7.147,13,7.163,10
