,Name,split1,split2,split3,sector1,sector2,sector3,sector1Gap,sector1Rank,sector2Gap,sector2Rank,sector3Gap,sector3Rank,split1Gap,split1Rank,split2Gap,split2Rank,split3Gap,split3Rank
0,HART Danny,01:17.587,02:42.415,03:32.484,01:17.587,01:24.828,00:50.069,0.0,1,0.0,1,1.491,2,0.0,1,0.0,1,0.0,1
1,GREENLAND Laurie,01:18.763,02:45.005,03:35.411,01:18.763,01:26.242,00:50.406,1.176,2,1.414,3,1.828,4,1.176,2,2.59,2,2.927,2
2,PAYET Florent,01:20.189,02:48.953,03:37.531,01:20.189,01:28.764,00:48.578,2.602,8,3.936,8,0.0,1,2.602,8,6.538,8,5.047,3
3,BROSNAN Troy,01:20.481,02:48.234,03:38.361,01:20.481,01:27.753,00:50.127,2.894,10,2.925,7,1.549,3,2.894,10,5.819,6,5.877,4
4,KERR Bernard,01:19.993,02:47.108,03:38.573,01:19.993,01:27.115,00:51.465,2.406,5,2.287,4,2.887,8,2.406,5,4.693,3,6.089,5
5,THIRION Remi,01:20.142,02:47.522,03:39.123,01:20.142,01:27.380,00:51.601,2.555,7,2.552,5,3.023,12,2.555,7,5.107,5,6.639,6
6,MINNAAR Greg,01:21.401,02:47.410,03:39.608,01:21.401,01:26.009,00:52.198,3.814,14,1.181,2,3.62,17,3.814,14,4.995,4,7.124,7
7,WILLIAMSON Greg,01:21.212,02:48.649,03:40.410,01:21.212,01:27.437,00:51.761,3.625,12,2.609,6,3.183,14,3.625,12,6.234,7,7.926,8
8,SHAW Luca,01:20.355,02:49.424,03:40.730,01:20.355,01:29.069,00:51.306,2.768,9,4.241,9,2.728,6,2.768,9,7.009,9,8.246,9
9,MOIR Jack,01:21.876,02:52.512,03:43.927,01:21.876,01:30.636,00:51.415,4.289,15,5.808,12,2.837,7,4.289,15,10.097,12,11.443,10
10,WALLACE Mark,01:23.301,02:53.296,03:44.845,01:23.301,01:29.995,00:51.549,5.714,27,5.167,11,2.971,10,5.714,27,10.881,14,12.361,11
11,PEKOLL Markus,01:20.084,02:51.333,03:44.968,01:20.084,01:31.249,00:53.635,2.497,6,6.421,15,5.057,29,2.497,6,8.918,11,12.484,12
12,BRANNIGAN George,01:22.066,02:53.275,03:46.132,01:22.066,01:31.209,00:52.857,4.479,17,6.381,14,4.279,24,4.479,17,10.86,13,13.648,13
13,HARRISON Charlie,01:22.841,02:55.166,03:47.636,01:22.841,01:32.325,00:52.470,5.254,23,7.497,18,3.892,20,5.254,23,12.751,16,15.152,14
14,BRAYTON Adam,01:24.155,02:55.068,03:47.642,01:24.155,01:30.913,00:52.574,6.568,34,6.085,13,3.996,21,6.568,34,12.653,15,15.158,15
15,BRYCELAND Josh,01:23.229,02:55.224,03:47.646,01:23.229,01:31.995,00:52.422,5.642,26,7.167,16,3.844,19,5.642,26,12.809,17,15.162,16
16,FAYOLLE Alexandre,01:22.172,02:55.783,03:47.939,01:22.172,01:33.611,00:52.156,4.585,18,8.783,25,3.578,16,4.585,18,13.368,21,15.455,17
17,GUTIERREZ VILLEGAS Marcelo,01:22.981,02:57.145,03:48.657,01:22.981,01:34.164,00:51.512,5.394,25,9.336,27,2.934,9,5.394,25,14.73,24,16.173,18
18,HANNAH Michael,01:23.361,02:55.618,03:48.824,01:23.361,01:32.257,00:53.206,5.774,28,7.429,17,4.628,27,5.774,28,13.203,19,16.34,19
19,FEARON Connor,01:24.373,02:57.423,03:48.988,01:24.373,01:33.050,00:51.565,6.786,36,8.222,21,2.987,11,6.786,36,15.008,25,16.504,20
20,ESTAQUE Thomas,01:24.446,02:56.799,03:49.677,01:24.446,01:32.353,00:52.878,6.859,37,7.525,19,4.3,25,6.859,37,14.384,22,17.193,21
21,MAES Martin,01:23.754,02:56.823,03:49.863,01:23.754,01:33.069,00:53.040,6.167,30,8.241,22,4.462,26,6.167,30,14.408,23,17.379,22
22,FAIRCLOUGH Brendan,01:23.832,02:57.832,03:50.578,01:23.832,ays 00:01,00:52.746,6.245,32,9.172,26,4.168,23,6.245,32,15.417,26,18.094,23
